frame,a0,a1,a2,a3,a4,a5,a6
0,-0.010788,0.008442,0.248753,-0.017555,-0.105601,0.023582,1.000000
1,-0.156383,-0.017097,0.432708,0.077529,-0.305571,0.028743,1.000000
2,-0.067687,0.061673,0.750892,-0.186396,0.092438,0.004652,1.000000
3,-0.041311,0.080010,0.698593,-0.133897,0.165945,0.023626,1.000000
4,-0.053874,0.061874,0.580362,-0.213041,0.178642,0.030412,1.000000
5,-0.094825,0.019193,0.499223,-0.132246,0.099873,0.002799,1.000000
6,-0.156886,0.006934,0.472964,-0.112395,0.056221,0.021426,1.000000
7,-0.063029,0.037447,0.358749,-0.141827,0.143911,-0.001892,1.000000
8,-0.055001,0.024701,0.257011,-0.091558,-0.150119,0.081271,-1.000000
9,-0.059869,0.011243,0.231711,-0.015615,-0.307184,0.142784,-1.000000
10,0.065609,-0.001032,0.213299,0.098093,-0.409650,0.029118,-1.000000
11,0.022450,-0.032409,0.114114,0.085072,-0.700665,0.082029,-1.000000
12,0.084957,-0.038948,-0.227915,0.156894,-0.544889,0.028824,-1.000000
13,0.007863,-0.001598,-0.046938,0.156136,-0.499152,-0.024247,-1.000000
14,0.225634,0.045152,-0.354865,0.053213,-0.263652,-0.022948,-1.000000
15,0.525381,0.189355,0.231365,-0.262641,0.097569,0.035222,-1.000000
16,0.639861,0.181629,0.395025,0.076437,-0.289568,-0.108342,-1.000000
17,0.938917,0.270316,0.491528,0.069969,-0.200470,0.010366,-1.000000
18,0.857452,0.087648,0.460417,-0.083983,-0.136565,0.055977,-1.000000
19,0.583784,0.037261,0.374488,-0.215775,-0.008258,0.117476,-1.000000
20,0.026652,-0.078327,0.472497,0.013146,-0.307481,0.083415,-1.000000
21,-0.093732,-0.033079,0.247515,0.247219,-0.236695,-0.145450,1.000000
22,-0.468829,0.004035,0.497025,0.128816,-0.557501,0.021139,1.000000
23,-0.324967,-0.054628,-0.356833,0.014568,-0.272550,0.110507,1.000000
24,-0.318113,-0.469830,-0.503889,0.142457,-0.799834,0.430854,1.000000
25,-0.103156,-0.545065,-0.394911,0.042238,-0.333158,0.276278,1.000000
26,0.013631,-0.108405,0.197915,0.046564,-0.061218,0.016977,1.000000
27,-0.029322,0.135858,0.247861,-0.041101,-0.102528,0.104355,1.000000
28,-0.004884,-0.042429,0.244880,0.067654,-0.075730,0.009538,1.000000
29,-0.408922,-0.335303,-0.198175,0.712204,0.826530,0.133009,1.000000
30,-0.090643,-0.717441,-0.032046,0.651598,0.357586,0.410949,1.000000
31,0.052731,-0.633453,0.253339,0.569706,0.417081,0.275558,1.000000
32,0.067249,-0.515525,0.331538,0.058711,0.281135,0.365373,1.000000
33,-0.134238,-0.449541,0.563551,0.042605,-0.239666,-0.243423,1.000000
34,-0.363115,-0.193462,0.557217,0.023872,-0.326410,-0.544382,1.000000
35,-0.730578,0.088169,0.927767,-0.430038,-0.603625,-0.418861,1.000000
36,-0.755435,-0.013536,0.650969,-0.235887,0.155267,-0.197373,1.000000
37,-0.340068,-0.133986,0.461414,-0.109699,-0.001241,0.048536,1.000000
38,0.011512,-0.010185,0.240523,0.008437,-0.068630,0.039545,1.000000
39,-0.006566,0.008816,0.248753,-0.018801,-0.096901,0.023638,1.000000
40,-0.002534,-0.005086,0.257374,0.032624,-0.072441,-0.016696,1.000000
41,0.175197,0.120106,0.308507,0.376805,0.430596,-0.381422,1.000000
42,0.380562,-0.082659,0.229557,0.255094,0.683744,0.292677,1.000000
43,0.113696,-0.314875,0.430718,0.176447,0.216045,0.337908,1.000000
44,0.215453,-0.267121,0.406023,0.120209,-0.041566,0.456448,1.000000
45,0.052782,-0.092350,0.379783,0.001390,-0.165660,0.158250,1.000000
46,-0.071037,-0.011593,0.351430,0.137396,-0.016708,-0.100800,1.000000
47,-0.384682,0.110645,0.446128,-0.118247,-0.264818,-0.082157,1.000000
48,-0.501693,0.158706,0.472441,-0.168636,-0.338245,-0.098040,1.000000
49,-0.448714,0.155486,0.356987,-0.086450,-0.181094,-0.112183,1.000000
50,-0.282520,0.081933,0.273699,0.008134,-0.014074,-0.082318,1.000000
51,-0.084814,0.074230,0.335056,-0.111320,0.097963,0.075807,1.000000
52,0.009455,0.012670,0.438340,-0.188148,0.293957,0.024209,1.000000
53,-0.034419,-0.068578,0.537709,-0.045377,0.075417,0.010447,1.000000
