frame,a0,a1,a2,a3,a4,a5,a6
0,-0.674368,-0.218796,0.238770,-0.927882,0.266416,0.073152,-1.000000
1,-0.651629,-0.221750,0.243279,-0.926491,0.249084,0.062363,-1.000000
2,-0.621390,-0.227480,0.251556,-0.923994,0.228269,0.048853,-1.000000
3,-0.585994,-0.234250,0.258985,-0.919910,0.198855,0.027604,-1.000000
4,-0.548448,-0.243732,0.266145,-0.915183,0.171463,0.004588,-1.000000
5,-0.497073,-0.259103,0.272675,-0.911204,0.146815,-0.023904,-1.000000
6,-0.458201,-0.271270,0.277998,-0.908307,0.134072,-0.049255,-1.000000
7,-0.416182,-0.286712,0.279138,-0.907106,0.123512,-0.074834,-1.000000
8,-0.381203,-0.299524,0.280216,-0.906464,0.109993,-0.097407,-1.000000
9,-0.328044,-0.316745,0.268674,-0.908017,0.093857,-0.124467,-1.000000
10,-0.291422,-0.329289,0.260189,-0.908604,0.081980,-0.145340,-1.000000
11,-0.249367,-0.341426,0.244447,-0.911012,0.066978,-0.165505,-1.000000
12,-0.209607,-0.353927,0.223183,-0.910653,0.058234,-0.185103,-1.000000
13,-0.169693,-0.364570,0.196003,-0.913673,0.047703,-0.203329,-1.000000
14,-0.140116,-0.372633,0.172985,-0.917146,0.040719,-0.215831,-1.000000
15,-0.112467,-0.380000,0.145397,-0.919894,0.036004,-0.225493,-1.000000
16,-0.087805,-0.384882,0.120797,-0.922671,0.036736,-0.231780,-1.000000
17,-0.064185,-0.388139,0.090992,-0.926698,0.034120,-0.234703,-1.000000
18,-0.044055,-0.389778,0.067447,-0.930025,0.039455,-0.237423,-1.000000
19,-0.027310,-0.390487,0.045395,-0.933580,0.043064,-0.240052,-1.000000
20,-0.012801,-0.390086,0.024954,-0.937051,0.051981,-0.240928,-1.000000
21,-0.000622,-0.388723,0.004235,-0.941301,0.061727,-0.241653,-1.000000
22,0.008861,-0.388067,-0.012584,-0.944734,0.071955,-0.244349,-1.000000
23,0.014145,-0.387660,-0.025738,-0.947883,0.079831,-0.246752,-1.000000
24,0.021260,-0.388169,-0.039552,-0.950824,0.087198,-0.250086,-1.000000
