frame,a0,a1
0,-0.392354,0.283730
1,-0.075168,0.482234
2,-0.030593,0.361296
3,0.031027,0.233083
4,0.252083,0.072696
5,0.173000,0.069846
6,0.081265,0.086651
7,0.208425,0.039663
8,0.256086,-0.000459
9,0.264787,0.012065
10,0.254234,0.063286
11,0.221739,0.083721
12,0.229230,0.200473
13,0.116979,0.232940
14,-0.028577,0.273560
15,-0.041333,0.315352
16,-0.038704,0.274510
17,-0.030939,0.095221
18,-0.037698,-0.013384
19,-0.099433,-0.013196
20,-0.191785,-0.013055
21,-0.169190,-0.009141
22,-0.191408,-0.013161
23,-0.183621,-0.013236
24,-0.159378,-0.013315
25,-0.090063,-0.047986
26,-0.082682,-0.117634
27,-0.143793,-0.165381
28,-0.212070,-0.152895
29,-0.174386,-0.140808
30,-0.009042,-0.030696
31,0.019522,0.074460
32,-0.100468,0.152526
33,-0.205892,0.091374
34,-0.125951,-0.002053
35,-0.100513,-0.070514
36,-0.052567,-0.205644
37,-0.084114,-0.212780
38,-0.066174,-0.018355
39,-0.102699,0.045762
