frame,a0,a1,a2,a3,a4,a5,a6
0,0.037500,0.000000,0.061607,0.000000,0.000000,-0.000000,-1.000000
1,0.050893,0.000000,0.155357,0.000000,0.000000,-0.001071,-1.000000
2,0.048214,0.053571,0.265179,0.000000,0.000000,-0.000000,-1.000000
3,0.066964,0.249107,0.420536,-0.007500,0.000000,-0.003214,-1.000000
4,0.072321,0.308036,0.391071,-0.023571,0.000000,-0.002143,-1.000000
5,0.080357,0.364286,0.388393,-0.027857,0.000000,-0.001071,-1.000000
6,0.158036,0.423214,0.308036,-0.038571,0.004286,-0.000000,-1.000000
7,0.179464,0.436607,0.222321,-0.036429,0.013929,-0.000000,-1.000000
8,0.219643,0.433929,0.115179,-0.026786,0.028929,-0.000000,-1.000000
9,0.254464,0.431250,-0.000000,-0.022500,0.034286,-0.000000,-1.000000
10,0.291964,0.412500,-0.000000,-0.010714,0.040714,-0.000000,-1.000000
11,0.337500,0.385714,-0.040179,0.000000,0.049286,-0.000000,-1.000000
12,0.345536,0.383036,-0.123214,-0.002143,0.053571,-0.000000,-1.000000
13,0.361607,0.366964,-0.155357,0.000000,0.055714,-0.000000,-1.000000
14,0.407143,0.364286,-0.184821,0.000000,0.068571,-0.000000,-1.000000
15,0.450000,0.316071,-0.254464,0.000000,0.073929,-0.000000,-1.000000
16,0.468750,0.302679,-0.297321,0.000000,0.072857,-0.000000,-1.000000
17,0.546429,0.267857,-0.353571,0.000000,0.083571,-0.000000,-1.000000
18,0.567857,0.230357,-0.404464,0.000000,0.083571,-0.000000,-1.000000
19,0.621429,0.203571,-0.420536,0.000000,0.091071,-0.000000,-1.000000
20,0.656250,0.203571,-0.425893,0.000000,0.094286,-0.000000,-1.000000
21,0.672321,0.174107,-0.460714,0.000000,0.095357,-0.000000,-1.000000
22,0.691071,0.160714,-0.471429,0.000000,0.096429,-0.000000,-1.000000
23,0.704464,0.152679,-0.476786,0.000000,0.097500,-0.000000,-1.000000
24,0.709821,0.141964,-0.487500,0.000000,0.097500,-0.000000,-1.000000
25,0.696429,0.125893,-0.498214,0.000000,0.095357,-0.000000,-1.000000
26,0.696429,0.123214,-0.506250,0.000000,0.094286,-0.000000,-1.000000
27,0.677679,0.115179,-0.495536,0.000000,0.090000,-0.000000,-1.000000
28,0.672321,0.112500,-0.479464,0.000000,0.088929,-0.000000,-1.000000
29,0.650893,0.101786,-0.490179,0.000000,0.086786,-0.000000,-1.000000
30,0.610714,0.050893,-0.455357,0.000000,0.082500,-0.000000,-1.000000
31,0.565179,0.018750,-0.433929,0.000000,0.079286,-0.000000,-1.000000
32,0.525000,0.000000,-0.412500,0.000000,0.072857,-0.000000,-1.000000
33,0.479464,0.000000,-0.401786,0.003214,0.067500,-0.000000,-1.000000
34,0.407143,-0.037500,-0.356250,0.012857,0.063214,-0.000000,-1.000000
35,0.353571,-0.107143,-0.294643,0.018214,0.063214,0.005357,-1.000000
36,0.281250,-0.203571,-0.275893,0.026786,0.042857,0.009643,-1.000000
37,0.265179,-0.267857,-0.198214,0.027857,0.032143,0.009643,-1.000000
38,0.238393,-0.372321,-0.216964,0.047143,0.025714,0.018214,-1.000000
39,0.222321,-0.380357,-0.227679,0.045000,0.020357,0.018214,-1.000000
40,0.203571,-0.444643,-0.281250,0.058929,0.016071,0.021429,-1.000000
41,0.198214,-0.439286,-0.262500,0.041786,0.007500,0.020357,-1.000000
42,0.166071,-0.463393,-0.257143,0.045000,0.000000,0.019286,-1.000000
43,0.141964,-0.484821,-0.208929,0.041786,0.000000,0.019286,-1.000000
44,0.109821,-0.487500,-0.155357,0.028929,0.000000,0.016071,-1.000000
45,0.077679,-0.492857,-0.115179,0.028929,0.000000,0.017143,-1.000000
46,0.053571,-0.500893,-0.026786,0.027857,0.000000,0.017143,-1.000000
47,0.026786,-0.474107,-0.000000,0.016071,0.000000,0.017143,-1.000000
